game_date	home_team	home_shots	home_goals	away_team	away_shots	away_goals	final_period_num
2013-01-19	PHI	27	1	PIT	27	3	3
2013-01-19	WPG	28	1	OTT	37	4	3
2013-01-19	LAK	21	2	CHI	22	5	3
2013-01-20	BOS	34	3	NYR	21	1	3
2013-01-20	MTL	22	1	TOR	26	2	3
2013-01-20	NYI	19	1	NJD	28	2	3
2013-01-20	TBL	34	6	WSH	30	3	3
2013-01-20	FLA	25	5	CAR	42	1	3
2013-01-20	STL	36	6	DET	14	0	3
2013-01-20	NSH	34	2	CBJ	28	3	5
2013-01-20	DAL	26	4	PHX	40	3	3
2013-01-20	MIN	35	4	COL	27	2	3
2013-01-20	VAN	29	3	ANA	26	7	3
2013-01-20	BUF	41	5	PHI	29	2	3
2013-01-21	NYR	34	3	PIT	39	6	3
2013-01-20	CGY	32	1	SJS	29	4	3
2013-01-21	MIN	32	1	DAL	24	0	3
2013-01-21	VAN	29	2	EDM	32	3	5
2013-01-21	PHX	29	4	CHI	31	6	3
2013-01-21	BOS	27	2	WPG	27	1	5
2013-01-21	NYI	44	4	TBL	26	3	3
2013-01-21	NSH	24	3	STL	39	4	5
2013-01-22	TOR	35	1	BUF	20	2	3
2013-01-22	OTT	37	4	FLA	31	0	3
2013-01-22	CBJ	33	3	DET	42	4	5
2013-01-22	CGY	25	4	ANA	24	5	3
2013-01-23	WSH	34	2	WPG	39	4	3
2013-01-23	CAR	36	1	TBL	26	4	3
2013-01-23	MTL	33	4	FLA	28	1	3
2013-01-23	NJD	26	3	PHI	24	0	3
2013-01-23	DET	40	1	DAL	32	2	3
2013-01-23	MIN	30	1	NSH	26	3	3
2013-01-23	CHI	27	3	STL	34	2	3
2013-01-23	COL	31	3	LAK	29	1	3
2013-01-23	EDM	29	3	SJS	31	6	3
2013-01-24	PIT	30	2	TOR	24	5	3
2013-01-24	NYR	33	4	BOS	29	3	4
2013-01-24	VAN	36	3	CGY	36	2	5
2013-01-24	PHX	42	5	CBJ	26	1	3
2013-01-25	TOR	43	4	NYI	34	7	3
2013-01-25	PHI	33	2	NYR	19	1	3
2013-01-25	WSH	31	1	MTL	22	4	3
2013-01-25	CAR	38	6	BUF	33	3	3
2013-01-25	FLA	26	1	OTT	37	3	3
2013-01-25	STL	24	3	NSH	13	0	3
2013-01-25	DAL	23	2	CHI	41	3	4
2013-01-25	COL	28	4	CBJ	33	0	3
2013-01-25	EDM	39	2	LAK	31	1	4
2013-01-25	SJS	35	5	PHX	35	3	3
2013-01-26	BOS	27	4	NYI	26	2	3
2013-01-26	BUF	41	1	CAR	42	3	3
2013-01-26	NJD	35	3	WSH	28	2	4
2013-01-26	TBL	31	6	OTT	36	4	3
2013-01-26	DET	27	5	MIN	26	3	3
2013-01-26	WPG	32	4	PIT	35	2	3
2013-01-26	ANA	30	0	VAN	34	5	3
2013-01-26	SJS	43	4	COL	24	0	3
2013-01-27	NYR	42	5	TOR	17	2	3
2013-01-27	CBJ	26	2	CHI	24	3	3
2013-01-27	FLA	31	1	PHI	26	7	3
2013-01-27	DAL	23	3	STL	32	4	3
2013-01-27	PHX	33	2	LAK	31	4	3
2013-01-27	CGY	35	4	EDM	20	3	3
2013-01-27	ANA	22	3	NSH	21	2	5
2013-01-27	WSH	30	3	BUF	24	2	3
2013-01-27	OTT	32	1	PIT	34	2	5
2013-01-27	MTL	32	4	NJD	25	3	4
2013-01-27	TBL	26	5	PHI	25	1	3
2013-01-28	CHI	27	2	DET	30	1	4
2013-01-28	WPG	35	5	NYI	25	4	4
2013-01-28	STL	34	5	MIN	16	4	4
2013-01-28	SJS	27	4	VAN	24	1	3
2013-01-29	CAR	32	3	BOS	38	5	3
2013-01-29	CBJ	27	2	DAL	25	1	3
2013-01-29	PHX	25	4	NSH	21	0	3
2013-01-29	EDM	27	4	COL	38	1	3
2013-01-29	LAK	28	3	VAN	23	2	5
2013-01-30	BOS	28	2	NJD	26	1	5
2013-01-30	BUF	32	3	TOR	24	4	4
